year,region,wine,beer,vodka,champagne,brandy
1998,Republic of Adygea,1.9,8.8,3.4,0.3,0.1
1998,Altai Krai,3.3,19.2,11.3,1.1,0.1
1998,Amur Oblast,2.1,21.2,17.3,0.7,0.4
1998,Arkhangelsk Oblast,4.3,10.6,11.7,0.4,0.3
1998,Astrakhan Oblast,2.9,18.0,9.5,0.8,0.2
1998,Republic of Bashkortostan,1.8,17.5,10.7,0.9,0.2
1998,Belgorod Oblast,3.4,23.0,10.8,0.9,0.1
1998,Bryansk Oblast,3.4,32.4,9.7,0.5,0.1
1998,Republic of Buryatia,1.1,8.8,15.8,0.9,0.1
1998,Vladimir Oblast,1.5,16.6,16.8,0.5,0.1
1998,Volgograd Oblast,2.9,27.9,12.9,1.5,0.3
1998,Vologda Oblast,3.9,23.7,19.3,0.6,0.3
1998,Voronezh Oblast,1.3,19.0,14.2,1.2,0.1
1998,Republic of Dagestan,4.8,3.8,2.0,0.5,0.3
1998,Jewish Autonomous Oblast,2.3,11.6,11.5,0.5,0.2
1998,Zabaykalsky Krai,0.9,8.6,5.0,0.2,0.1
1998,Ivanovo Oblast,1.4,20.7,16.1,0.1,0.04
1998,Republic of Ingushetia,,,,,
1998,Irkutsk Oblast,5.6,26.8,14.8,1.0,0.4
1998,Kabardino-Balkar Republic,1.6,9.9,6.5,0.3,0.3
1998,Kaliningrad Oblast,2.7,21.6,12.2,1.1,0.3
1998,Republic of Kalmykia,2.3,4.1,11.1,0.3,0.1
1998,Kaluga Oblast,2.8,24.2,15.6,0.7,0.1
1998,Kamchatka Krai,6.4,25.5,25.1,0.8,0.4
1998,Karachay-Cherkess Republic,1.7,5.4,8.6,0.1,0.04
1998,Republic of Karelia,3.2,16.2,15.4,0.5,0.2
1998,Kemerovo Oblast,3.6,25.6,16.8,1.1,0.4
1998,Kirov Oblast,2.0,12.4,12.8,0.4,0.1
1998,Kostroma Oblast,1.7,25.8,17.9,1.2,0.1
1998,Krasnodar Krai,8.5,18.3,8.7,1.0,0.3
1998,Krasnoyarsk Krai,3.7,25.0,14.1,0.9,0.3
1998,Republic of Crimea,,,,,
1998,Kurgan Oblast,3.8,20.1,15.1,1.2,0.2
1998,Kursk Oblast,1.5,22.9,4.4,0.7,0.1
1998,Leningrad Oblast,2.3,15.0,13.9,0.5,0.2
1998,Lipetsk Oblast,2.6,29.6,15.3,1.4,0.2
1998,Magadan Oblast,6.2,33.8,23.1,2.1,0.3
1998,Mari El Republic,3.6,28.4,13.5,0.7,0.2
1998,Republic of Mordovia,1.2,20.5,10.8,0.9,0.1
1998,Moscow,6.8,30.0,18.9,3.5,0.7
1998,Moscow Oblast,2.2,11.9,15.2,1.1,0.2
1998,Murmansk Oblast,4.8,21.4,16.6,1.7,0.6
1998,Nenets Autonomous Okrug,4.3,10.6,11.7,0.4,0.3
1998,Nizhny Novgorod Oblast,3.4,14.8,9.6,1.0,0.2
1998,Novgorod Oblast,4.1,32.7,16.5,1.6,0.2
