DateTime,Holiday,HolidayFlag,DayOfWeek,WeekOfYear,Day,Month,Year,PeriodOfDay,ORKTemperature,ORKWindspeed,CO2Intensity,ActualWindProduction,SystemLoadEP2,SMPEP2
01/11/2011 00:00,None,0,1,44,1,11,2011,0,6.00,9.30,600.71,356.00,3159.60,54.32
01/11/2011 00:30,None,0,1,44,1,11,2011,1,6.00,11.10,605.42,317.00,2973.01,54.23
01/11/2011 01:00,None,0,1,44,1,11,2011,2,5.00,11.10,589.97,311.00,2834.00,54.23
01/11/2011 01:30,None,0,1,44,1,11,2011,3,6.00,9.30,585.94,313.00,2725.99,53.47
01/11/2011 02:00,None,0,1,44,1,11,2011,4,6.00,11.10,571.52,346.00,2655.64,39.87
01/11/2011 02:30,None,0,1,44,1,11,2011,5,5.00,11.10,562.61,342.00,2585.99,39.87
01/11/2011 03:00,None,0,1,44,1,11,2011,6,5.00,7.40,545.81,336.00,2561.70,39.87
01/11/2011 03:30,None,0,1,44,1,11,2011,7,5.00,9.30,539.38,338.00,2544.33,39.87
01/11/2011 04:00,None,0,1,44,1,11,2011,8,4.00,11.10,538.70,347.00,2549.02,39.87
01/11/2011 04:30,None,0,1,44,1,11,2011,9,4.00,7.40,540.39,338.00,2547.15,39.87
01/11/2011 05:00,None,0,1,44,1,11,2011,10,4.00,7.40,532.30,372.00,2584.58,39.87
01/11/2011 05:30,None,0,1,44,1,11,2011,11,5.00,5.60,547.57,361.00,2641.37,39.87
01/11/2011 06:00,None,0,1,44,1,11,2011,12,5.00,3.70,556.14,383.00,2842.19,51.45
01/11/2011 06:30,None,0,1,44,1,11,2011,13,5.00,3.70,590.34,358.00,3082.97,51.45
01/11/2011 07:00,None,0,1,44,1,11,2011,14,4.00,9.30,596.22,402.00,3372.55,52.82
01/11/2011 07:30,None,0,1,44,1,11,2011,15,5.00,3.70,581.52,368.00,3572.64,53.65
01/11/2011 08:00,None,0,1,44,1,11,2011,16,5.00,5.60,577.27,361.00,3852.42,54.21
01/11/2011 08:30,None,0,1,44,1,11,2011,17,6.00,5.60,568.76,340.00,4116.03,58.33
01/11/2011 09:00,None,0,1,44,1,11,2011,18,8.00,7.40,560.79,358.00,4345.42,58.33
01/11/2011 09:30,None,0,1,44,1,11,2011,19,9.00,7.40,542.80,339.00,4427.29,58.33
01/11/2011 10:00,None,0,1,44,1,11,2011,20,?,?,535.37,324.00,4460.41,58.33
01/11/2011 10:30,None,0,1,44,1,11,2011,21,11.00,13.00,532.52,335.00,4493.22,58.27
01/11/2011 11:00,None,0,1,44,1,11,2011,22,11.00,22.20,534.34,372.00,4513.02,58.26
01/11/2011 11:30,None,0,1,44,1,11,2011,23,11.00,18.50,530.08,415.00,4490.71,58.26
01/11/2011 12:00,None,0,1,44,1,11,2011,24,11.00,22.20,517.55,513.00,4493.73,58.26
01/11/2011 12:30,None,0,1,44,1,11,2011,25,11.00,20.40,506.83,623.00,4481.31,58.15
01/11/2011 13:00,None,0,1,44,1,11,2011,26,12.00,20.40,513.98,683.00,4408.46,54.74
01/11/2011 13:30,None,0,1,44,1,11,2011,27,11.00,24.10,518.96,711.00,4341.14,54.74
01/11/2011 14:00,None,0,1,44,1,11,2011,28,12.00,22.20,525.69,761.00,4338.35,54.14
01/11/2011 14:30,None,0,1,44,1,11,2011,29,11.00,25.90,528.47,750.00,4294.17,53.63
01/11/2011 15:00,None,0,1,44,1,11,2011,30,11.00,22.20,528.17,758.00,4318.87,53.63
01/11/2011 15:30,None,0,1,44,1,11,2011,31,11.00,24.10,513.22,805.00,4375.62,53.63
01/11/2011 16:00,None,0,1,44,1,11,2011,32,11.00,27.80,509.16,782.00,4469.73,54.74
01/11/2011 16:30,None,0,1,44,1,11,2011,33,11.00,27.80,495.57,861.00,4720.21,58.15
01/11/2011 17:00,None,0,1,44,1,11,2011,34,11.00,31.50,479.82,1014.00,5179.06,130.38
01/11/2011 17:30,None,0,1,44,1,11,2011,35,11.00,29.60,460.51,1065.00,5372.97,189.73
01/11/2011 18:00,None,0,1,44,1,11,2011,36,11.00,33.30,450.42,1138.00,5246.99,130.38
01/11/2011 18:30,None,0,1,44,1,11,2011,37,11.00,35.20,460.87,1191.00,5051.17,58.26
01/11/2011 19:00,None,0,1,44,1,11,2011,38,12.00,35.20,463.02,1230.00,4882.23,58.26
01/11/2011 19:30,None,0,1,44,1,11,2011,39,12.00,37.00,457.03,1279.00,4676.06,54.14
01/11/2011 20:00,None,0,1,44,1,11,2011,40,12.00,37.00,457.09,1278.00,4520.71,54.74
01/11/2011 20:30,None,0,1,44,1,11,2011,41,12.00,38.90,462.62,1247.00,4403.16,54.74
01/11/2011 21:00,None,0,1,44,1,11,2011,42,12.00,38.90,445.23,1250.00,4225.18,53.63
01/11/2011 21:30,None,0,1,44,1,11,2011,43,12.00,42.60,463.86,1246.00,4000.62,54.74
01/11/2011 22:00,None,0,1,44,1,11,2011,44,12.00,44.40,457.84,1281.00,3757.52,53.00
01/11/2011 22:30,None,0,1,44,1,11,2011,45,12.00,51.90,409.03,1325.00,3536.95,53.00
01/11/2011 23:00,None,0,1,44,1,11,2011,46,12.00,48.20,381.35,1391.00,3425.87,51.61
01/11/2011 23:30,None,0,1,44,1,11,2011,47,12.00,48.20,374.14,1374.00,3192.47,51.61
02/11/2011 00:00,None,0,2,44,2,11,2011,0,12.00,46.30,357.17,1357.00,2936.40,51.45
