SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JF,MAM,JJAS,OND
Kerala,1901,28.7,44.7,51.6,160,174.7,824.6,743,357.5,197.7,266.9,350.8,48.4,3248.6,73.4,386.2,2122.8,666.1
Kerala,1902,6.7,2.6,57.3,83.9,134.5,390.9,1205,315.8,491.6,358.4,158.3,121.5,3326.6,9.3,275.7,2403.4,638.2
Kerala,1903,3.2,18.6,3.1,83.6,249.7,558.6,1022.5,420.2,341.8,354.1,157,59,3271.2,21.7,336.3,2343,570.1
Kerala,1904,23.7,3,32.2,71.5,235.7,1098.2,725.5,351.8,222.7,328.1,33.9,3.3,3129.7,26.7,339.4,2398.2,365.3
Kerala,1905,1.2,22.3,9.4,105.9,263.3,850.2,520.5,293.6,217.2,383.5,74.4,0.2,2741.6,23.4,378.5,1881.5,458.1
Kerala,1906,26.7,7.4,9.9,59.4,160.8,414.9,954.2,442.8,131.2,251.7,163.1,86,2708,34.1,230,1943.1,500.8
Kerala,1907,18.8,4.8,55.7,170.8,101.4,770.9,760.4,981.5,225,309.7,219.1,52.8,3671.1,23.7,328,2737.8,581.7
Kerala,1908,8,20.8,38.2,102.9,142.6,592.6,902.2,352.9,175.9,253.3,47.9,11,2648.3,28.8,283.7,2023.6,312.2
Kerala,1909,54.1,11.8,61.3,93.8,473.2,704.7,782.3,258,195.4,212.1,171.1,32.3,3050.2,65.9,628.3,1940.4,415.5
Kerala,1910,2.7,25.7,23.3,124.5,148.8,680,484.1,473.8,248.6,356.6,280.4,0.1,2848.6,28.4,296.7,1886.5,637
Kerala,1911,3,4.3,18.2,51,180.6,990,705.3,178.6,60.2,302.3,145.7,87.6,2726.7,7.3,249.7,1934,535.7
Kerala,1912,1.9,15,11.2,122.7,217.3,948.2,833.6,534.4,136.8,469.5,138.7,22,3451.3,16.9,351.1,2453.1,630.2
Kerala,1913,3.1,5.2,20.7,75.7,198.8,541.7,763.2,247.2,176.9,422.5,109.9,45.8,2610.8,8.3,295.2,1729,578.3
Kerala,1914,0.7,6.8,18.1,32.7,164.2,565.3,857.7,402.2,241,374.4,100.9,135.2,2899.1,7.6,215,2066.1,610.5
Kerala,1915,16.9,23.5,42.7,106,154.5,696.1,775.6,298.8,396.6,196.6,302.5,14.9,3024.5,40.4,303.1,2167,514
Kerala,1916,0,7.8,22,82.4,199,920.2,513.9,396.9,339.3,320.7,134.3,8.9,2945.3,7.8,303.4,2170.2,463.9
Kerala,1917,2.9,47.6,79.4,38.1,122.9,703.7,342.7,335.1,470.3,264.1,256.4,41.6,2704.8,50.5,240.4,1851.7,562.1
Kerala,1918,42.9,5,32.8,51.3,683,464.3,167.5,376,96.4,233.2,295.4,54.1,2501.9,47.9,767,1104.3,582.6
Kerala,1919,43,6.1,33.9,65.9,247,636.8,648,484.2,255.9,249.2,280.1,53,3003.3,49.2,346.8,2025,582.3
Kerala,1920,35.2,5.5,24.1,172,87.7,964.3,940.8,235,178,350.1,302.3,8.2,3303.1,40.6,283.7,2318.2,660.6
Kerala,1921,43,4.7,15,171.3,104.1,489.1,639.8,641.9,156.7,302.4,136.2,15.8,2719.9,47.8,290.3,1927.5,454.3
Kerala,1922,30.5,21.4,16.3,89.6,293.6,663.1,1025.1,320.6,222.4,266.3,293.7,25.1,3267.6,51.9,399.4,2231.2,585.1
Kerala,1923,24.7,0.7,78.9,43.5,80,722.5,1008.7,943,254.3,203.1,83.9,41.6,3484.7,25.3,202.3,2928.4,328.6
Kerala,1924,19.3,2.9,66.6,111,185.4,1011.7,1526.5,624,289.1,176.5,162.9,50.4,4226.4,22.2,363,3451.3,389.9
Kerala,1925,4.1,16.5,76.9,93.4,258.2,688.8,593.5,554.1,158.8,295.4,223.7,98.8,3062.1,20.5,428.5,1995.2,617.9
Kerala,1926,28.6,5.8,23.1,55.8,222.6,563.9,885.2,536,322.7,216.7,88.8,16.2,2965.4,34.4,301.5,2307.8,321.7
Kerala,1927,18.8,35.3,49.6,86.5,265.4,720.2,888.2,315,335.6,135.8,137.6,6.8,2994.7,54.1,401.4,2258.9,280.2
Kerala,1928,12.7,65.9,51.3,121.1,81.9,590.7,420.6,553.2,75.9,321.5,155.2,52.7,2502.8,78.6,254.3,1640.4,529.4
Kerala,1929,12.8,29.8,58.9,210.7,148,946.6,844,293.9,268.9,350.4,158.2,39.4,3361.6,42.6,417.6,2353.5,548
Kerala,1930,10.8,10.8,39,102.7,404.9,633.1,401.7,273.4,411.5,433.9,207,89.2,3018,21.6,546.5,1719.7,730.2
Kerala,1931,3.3,0.3,19.2,126.9,131.7,541.7,653.9,1199.2,163.2,149.3,164.3,106.5,3259.6,3.6,277.8,2558,420.1
Kerala,1932,0.1,19.3,28.6,113,646.5,341,716.4,423.2,317.3,543.2,223.2,31.3,3403,19.4,788.1,1797.8,797.7
Kerala,1933,1,9.3,36.9,139.5,738.8,859.3,773.4,479.5,469.7,397,126.1,42.3,4072.9,10.3,915.2,2581.9,565.5
Kerala,1934,74.5,1.7,47.7,92.4,106.7,852.9,415,337.2,48.4,335.9,93.4,4.9,2410.7,76.2,246.8,1653.5,434.2
Kerala,1935,23.9,8.3,18.1,120.7,56.6,431.3,687.3,280.9,283.3,403.8,153,30.9,2498.2,32.3,195.4,1682.9,587.6
Kerala,1936,1.2,16.5,116,34,466.5,620.8,672.1,367.9,286.7,231.7,211.1,18.6,3043.3,17.7,616.6,1947.5,461.5
Kerala,1937,6.5,21.2,58.7,175.5,137.1,485.6,970.5,281.2,139.8,401.9,121,19.1,2818.2,27.7,371.3,1877.1,542
Kerala,1938,0.3,79,53.3,164.5,179.6,681.6,648.6,287.9,223.2,223.7,69.5,22.9,2634.1,79.4,397.3,1841.3,316.1
Kerala,1939,13.6,3.6,24.9,172.8,105.1,625.8,749.6,459.9,134.1,339.8,298.1,10.2,2937.5,17.2,302.8,1969.4,648.1
Kerala,1940,0.6,1.5,3.8,126.5,217.4,606.4,877.3,610.8,68.2,257.7,287.5,60.1,3117.8,2.1,347.6,2162.7,605.3
Kerala,1941,15.9,4.6,12.7,101.9,417.5,797.6,517.9,458.5,257.9,221.6,220.5,84.6,3111.1,20.5,532,2031.8,526.7
Kerala,1942,2.4,4.7,23.2,180.3,191.9,813.6,828.8,329.3,99.8,374.4,84.7,117.9,3050.9,7,395.4,2071.4,577
Kerala,1943,83.5,14.6,38.4,107.5,478.4,794.5,831.6,183.3,257.6,427.2,223.4,24.3,3464.2,98.1,624.3,2067,674.9
Kerala,1944,6.4,26.6,61.6,61.6,212.7,498.9,614.1,230.7,155,289,244.1,89.2,2490,33,336,1498.7,622.3
Kerala,1945,4.4,9.9,12.7,104.1,53.4,549.8,704,351.8,110.9,253.8,259.5,18,2432.4,14.3,170.2,1716.5,531.4
Kerala,1946,1.8,5.4,108.4,139.8,83,919,671.7,695.6,199.4,266.1,273,202.3,3565.5,7.3,331.2,2485.7,741.3
Kerala,1947,22.2,27.3,98,142.2,85.7,556.1,669.3,739.6,394.5,183.7,32.4,47,2998.1,49.5,325.9,2359.5,263.2
Kerala,1948,43,8.3,48.2,125,212.3,910.2,619,487.9,166.6,183.9,215.6,19.2,3039.2,51.3,385.5,2183.7,418.7
Kerala,1949,0.6,1.8,4.5,98.1,440,536.3,758.7,445.2,354.5,229.1,71.9,1.8,2942.6,2.4,542.6,2094.7,302.8
Kerala,1950,0.1,53.7,31.1,68.5,242,638.3,905.7,387.3,411.6,250.4,149.2,8.8,3146.6,53.8,341.5,2342.9,408.4
Kerala,1951,6.6,6.5,41.6,175.9,148.5,774.1,544.6,190.6,313.8,250.6,229.6,23.2,2705.5,13.1,366,1823,503.5
Kerala,1952,5.2,48.2,20.8,112.2,214.6,576.7,430,413.6,57.4,339.6,49.6,66.9,2334.8,53.4,347.6,1477.7,456.1
Kerala,1953,13.1,22.6,18.5,132.4,55.4,340.5,1027.6,356.4,100.5,410.5,62.2,5.1,2544.9,35.7,206.3,1825.1,477.8
Kerala,1954,23.5,2.8,90.6,136.9,179.5,798.3,640.5,467,201.6,303.1,31.6,62.5,2938,26.3,407,2107.4,397.2
Kerala,1955,4.2,6.3,28.2,125.9,544.2,782.4,392.8,236,438.5,378.2,178.1,19.8,3134.7,10.5,698.3,1849.7,576.1
Kerala,1956,7.9,11.7,15.1,151.6,351.3,755.4,466.8,319.5,178.4,353.3,178.2,9.1,2798.4,19.6,518,1720.1,540.6
Kerala,1957,1.2,16,25.7,70.2,381.2,872,835.3,358.8,41.3,280.1,192.5,28.9,3103.3,17.2,477.2,2107.4,501.5
Kerala,1958,4.4,19.3,57.3,135.1,353.5,713.3,622.7,526.6,86.1,191,206.1,7.7,2923.1,23.7,545.9,1948.7,404.8
Kerala,1959,3,21.4,6.3,150.7,347.2,872.8,1155.7,397.3,405.5,200.4,151.9,34,3746,24.3,504.2,2831.2,386.3
Kerala,1960,9.4,8.4,44.4,206.6,540,480.3,750.9,336.8,371.2,255.9,358,23.7,3385.5,17.8,791,1939.2,637.5
Kerala,1961,13.7,31.3,11.4,94.1,500.5,1005.2,1146.5,678.3,399.3,274.2,85.9,17.5,4257.8,45,606,3229.3,377.6
Kerala,1962,28.4,54.7,39.6,95.1,472.4,244.9,951.1,510.7,394.9,475.6,31.5,76.9,3375.8,83.1,607.1,2101.6,584
Kerala,1963,30.2,24.8,69.8,96.3,157.1,393.3,720.2,511,223.9,282.6,93.4,48.4,2651.1,55,323.2,1848.5,424.4
Kerala,1964,1.1,7.8,67.2,83.3,94.8,379.4,754.2,548,398.2,325.7,191.7,17.8,2869.1,8.8,245.2,2079.8,535.2
Kerala,1965,9.1,0.9,28.3,109.8,214.5,597.7,465.1,296.1,150.1,183.7,131.7,155.5,2342.4,10,352.6,1508.9,470.9
Kerala,1966,3,6.9,67.7,167.4,95.2,496.2,601.9,202.1,293.2,392.3,245.4,50.5,2621.7,9.9,330.3,1593.3,688.2
Kerala,1967,14.3,0.1,24.6,70.1,244.9,541.7,741.4,508.4,145.8,172.7,74,31.1,2569.1,14.4,339.6,1937.3,277.8
Kerala,1968,7.3,30.5,89.2,133.3,90,696.4,1308.9,380.7,325.4,178.9,119.4,32.7,3392.7,37.8,312.5,2711.4,331
Kerala,1969,2.7,6.4,19.4,117.2,227.4,550.5,818.8,284.8,216.4,235.6,119.4,66.3,2665,9.1,364,1870.6,421.3
Kerala,1970,12.9,17.6,25.8,132.7,289.1,535.3,558.1,554.8,212.5,278.3,80.5,5.7,2703.5,30.5,447.7,1860.7,364.6
Kerala,1971,31.6,18.5,20,113,317.5,889.6,648.6,385.2,331.2,220.9,38.3,62.3,3076.8,50.1,450.6,2254.6,321.5
Kerala,1972,2.6,7.5,2.5,87.5,436,401.8,714.4,294.9,185.7,351.5,140.5,114.3,2739.4,10.2,526,1596.8,606.4
Kerala,1973,0,0.3,12.3,131.5,119.9,617,583.5,487.5,61.3,260.8,84.5,53.8,2412.5,0.3,263.8,1749.2,399.2
Kerala,1974,1.6,5.4,16,128,221.5,266.9,1004.2,533.6,383.6,142.1,61,3.6,2767.4,7,365.6,2188.2,206.6
