ObjectId,Branch,Month,Performance_Indicator,Quantity
1,Reynolds,2020/09/18 00:00:00,Holds Filled (Collections),2861
2,System,2020/05/18 00:00:00,eCollection Use,17404
3,Reynolds,2020/10/18 00:00:00,Holds Filled (Collections),2646
4,Reynolds,2020/11/18 00:00:00,Holds Filled (Collections),2673
5,System,2020/06/18 00:00:00,eCollection Use,17589
6,Reynolds,2020/12/18 00:00:00,Holds Filled (Collections),2491
7,System,2020/01/18 00:00:00,Prospector Loans,1105
8,System,2020/07/18 00:00:00,eCollection Use,18533
9,System,2020/08/18 00:00:00,eCollection Use,18435
10,System,2020/02/18 00:00:00,Prospector Loans,1151
11,System,2020/03/18 00:00:00,Prospector Loans,1165
12,System,2020/09/18 00:00:00,eCollection Use,17255
13,System,2020/10/18 00:00:00,eCollection Use,18831
14,System,2020/04/18 00:00:00,Prospector Loans,1058
15,System,2020/05/18 00:00:00,Prospector Loans,993
16,System,2020/11/18 00:00:00,eCollection Use,20715
17,System,2020/12/18 00:00:00,eCollection Use,26463
18,System,2020/06/18 00:00:00,Prospector Loans,901
19,System,2020/07/18 00:00:00,Prospector Loans,841
20,Main,2020/01/18 00:00:00,Door Counts,54037
21,System,2020/08/18 00:00:00,Prospector Loans,1039
22,System,2020/09/18 00:00:00,Prospector Loans,903
23,Main,2020/02/18 00:00:00,Door Counts,51975
24,Main,2020/03/18 00:00:00,Door Counts,59533
25,System,2020/10/18 00:00:00,Prospector Loans,952
26,System,2020/11/18 00:00:00,Prospector Loans,992
27,Main,2020/04/18 00:00:00,Door Counts,60970
28,Main,2020/05/18 00:00:00,Door Counts,62433
29,System,2020/12/18 00:00:00,Prospector Loans,885
30,System,2020/01/18 00:00:00,Prospector Borrows,2218
31,Main,2020/06/18 00:00:00,Door Counts,63701
32,Main,2020/07/18 00:00:00,Door Counts,64838
33,System,2020/02/18 00:00:00,Prospector Borrows,1765
34,System,2020/03/18 00:00:00,Prospector Borrows,1817
35,Main,2020/08/18 00:00:00,Door Counts,61749
36,Main,2020/09/18 00:00:00,Door Counts,60052
37,System,2020/04/18 00:00:00,Prospector Borrows,1783
38,System,2020/05/18 00:00:00,Prospector Borrows,1807
39,Main,2020/10/18 00:00:00,Door Counts,59019
40,Main,2020/11/18 00:00:00,Door Counts,55027
41,System,2020/06/18 00:00:00,Prospector Borrows,1642
42,System,2020/07/18 00:00:00,Prospector Borrows,1560
43,Main,2020/12/18 00:00:00,Door Counts,48506
44,Meadows,2020/01/18 00:00:00,Door Counts,14396
45,System,2020/08/18 00:00:00,Prospector Borrows,1787
46,System,2020/09/18 00:00:00,Prospector Borrows,1592
47,Meadows,2020/02/18 00:00:00,Door Counts,11775
48,Meadows,2020/03/18 00:00:00,Door Counts,13315
49,System,2020/10/18 00:00:00,Prospector Borrows,1792
50,System,2020/11/18 00:00:00,Prospector Borrows,1841
51,Meadows,2020/04/18 00:00:00,Door Counts,12524
52,System,2020/12/18 00:00:00,Prospector Borrows,1768
53,System,2020/01/18 00:00:00,FLC Loans outgoing,7009
54,Meadows,2020/05/18 00:00:00,Door Counts,12501
55,Meadows,2020/06/18 00:00:00,Door Counts,12642
56,System,2020/02/18 00:00:00,FLC Loans outgoing,6462
57,Meadows,2020/07/18 00:00:00,Door Counts,12539
58,Meadows,2020/08/18 00:00:00,Door Counts,12921
59,System,2020/03/18 00:00:00,FLC Loans outgoing,6899
60,System,2020/04/18 00:00:00,FLC Loans outgoing,6473
61,Meadows,2020/09/18 00:00:00,Door Counts,11926
62,Meadows,2020/10/18 00:00:00,Door Counts,"13,344"
63,System,2020/05/18 00:00:00,FLC Loans outgoing,6091
64,Meadows,2020/11/18 00:00:00,Door Counts,13937
65,Meadows,2020/12/18 00:00:00,Door Counts,13185
66,System,2020/06/18 00:00:00,FLC Loans outgoing,6971
67,Reynolds,2020/01/18 00:00:00,Door Counts,11749
68,System,2020/07/18 00:00:00,FLC Loans outgoing,6595
69,System,2020/08/18 00:00:00,FLC Loans outgoing,6853
70,Reynolds,2020/02/18 00:00:00,Door Counts,10600
71,Reynolds,2020/03/18 00:00:00,Door Counts,12096
72,System,2020/09/18 00:00:00,FLC Loans outgoing,6110
73,System,2020/10/18 00:00:00,FLC Loans outgoing,6652
74,Reynolds,2020/04/18 00:00:00,Door Counts,11566
75,Reynolds,2020/05/18 00:00:00,Door Counts,11785
76,System,2020/11/18 00:00:00,FLC Loans outgoing,6369
77,System,2020/12/18 00:00:00,FLC Loans outgoing,5870
78,Reynolds,2020/06/18 00:00:00,Door Counts,11588
79,Reynolds,2020/07/18 00:00:00,Door Counts,10817
80,System,2020/01/18 00:00:00,FLC Borrows incoming,9187
81,System,2020/02/18 00:00:00,FLC Borrows incoming,7960
82,Reynolds,2020/08/18 00:00:00,Door Counts,10817
83,Reynolds,2020/09/18 00:00:00,Door Counts,10449
84,System,2020/03/18 00:00:00,FLC Borrows incoming,9075
85,System,2020/04/18 00:00:00,FLC Borrows incoming,8051
86,Reynolds,2020/10/18 00:00:00,Door Counts,11513
87,Reynolds,2020/11/18 00:00:00,Door Counts,10470
88,System,2020/05/18 00:00:00,FLC Borrows incoming,8466
89,Reynolds,2020/12/18 00:00:00,Door Counts,9334
